GeneID,Name
LOC575820,Sp-Cyp1r2
LOC575820,Sp-Cyp1r2
LOC100893015,Sp-Cyp17L1
LOC581339,Sp-Cyp17a1
LOC578655,Sp-Cyp1L1
LOC578140,Sp-Cyp1L7
LOC584123,Sp-Cyp17r3
LOC576122,Sp-Cyp1r3
LOC575820,Sp-Cyp1r2
LOC115919855,Sp-Cyp17r1
LOC578140,Sp-Cyp1r1
LOC115919855,Sp-Cyp17r1
LOC578598,Sp-Cyp1L6
LOC575982,Sp-Cyp2L58
LOC579395,Sp-Cyp2L47
LOC581777,Sp-Cyp2L42
LOC581885,Sp-Cyp2U
LOC575697,Sp-Cyp2L16
LOC578821,Sp-Cyp3L7
LOC581116,Sp-Cyp3L4
LOC588156,Sp-Cyp3L14
LOC580620,Sp-Cyp3L1
LOC584244,Sp-Cyp3L15
LOC762372,Sp-Cyp3L10
LOC586235,Sp-Cyp3L13
LOC578639,Sp-Cyp3L3
LOC586711,Sp-Cyp3L8
LOC585966,Sp-Cyp3L9
LOC586235,Sp-Cyp3L13
LOC586973,Sp-Cyp3L16
LOC582382,Sp-Cyp3L11
LOC576854,Sp-Cyp3L2
LOC586973,Sp-Cyp3L16
LOC586711,Sp-Cyp3L8
LOC582382,Sp-Cyp3L5
LOC584244,Sp-Cyp3L15
LOC586711,Sp-Cyp3L8
LOC586973,Sp-Cyp3L16
LOC585008,Sp-Cyp3L6
LOC582382,Sp-Cyp3L11
LOC587435,Sp-Cyp46L3
LOC594737,Sp-Cyp4VL2
LOC591990,Sp-Cyp46L1
na,Sp-Cyp46L2
LOC587435,Sp-Cyp46L3
LOC591990,Sp-Cyp46L1
LOC115918059,Sp-Cyp46L9
LOC582035,Sp-Cyp46L5
LOC577991,Sp-Cyp46L6
LOC587435,Sp-Cyp46L3
LOC115928128,Sp-Cyp4L1
na,Sp-Cyp46L2
LOC574627,Sp-Cyp46L4
LOC577991,Sp-Cyp46L8
LOC100891253,Sp-Cyp4L2
na,Sp-Cyp46L7
LOC577955,Sp-Cyp4L3
na,Sp-Cyp46L7
LOC577991,Sp-Cyp46L8
LOC581875,Sp-Cyp4VL3
LOC577955,Sp-Cyp4VL4