dev_stage,cell_type,dev_stage_cell_ident_num_cell,dev_stage_cell_ident_percentage
8-cell,aboral-ectoderm,4,0.004514673
8-cell,neural_8_to_eg,129,0.145598194
8-cell,ciliated_cells_m,81,0.091422122
8-cell,endoderm_endo-msd,1,0.001128668
8-cell,neural_AnEctoE,2,0.002257336
8-cell,transient_8_to_eb,650,0.733634312
8-cell,nsm_pigment_cells,1,0.001128668
8-cell,skeleton_64,1,0.001128668
8-cell,transient,3,0.003386005
8-cell,germline,14,0.015801354
64-cell,neural_8_to_eg,33,0.037671233
64-cell,endoderm_hb,1,0.001141553
64-cell,ciliated_cells_m,29,0.033105023
64-cell,endoderm_endo-msd,7,0.007990868
64-cell,neural_AnEctoE,11,0.012557078
64-cell,transient_8_to_eb,638,0.728310502
64-cell,oral_ectoderm_64,6,0.006849315
64-cell,skeleton_64,5,0.005707763
64-cell,neural_AnEctoL,1,0.001141553
64-cell,transient,3,0.003424658
64-cell,germline,142,0.162100457
morula,aboral-ectoderm,24,0.006700168
morula,oral_ectoderm_eb,1,2.79E-04
morula,ciliated_cells,1,2.79E-04
morula,neural_8_to_eg,41,0.011446119
morula,endoderm_hb,1,2.79E-04
morula,ciliated_cells_m,984,0.274706868
morula,endoderm_endo-msd,367,0.102456728
morula,neural_AnEctoE,618,0.172529313
morula,transient_8_to_eb,1015,0.283361251
morula,nsm_pigment_cells,1,2.79E-04
morula,oral_ectoderm_64,144,0.040201005
morula,oral_ectoderm_m,6,0.001675042
morula,wtf,1,2.79E-04
morula,skeleton_64,252,0.070351759
morula,neural_AnEctoL,1,2.79E-04
morula,transient,107,0.02987158
morula,germline,18,0.005025126
EB,aboral-ectoderm,1040,0.173564753
EB,oral_ectoderm_eb,6,0.001001335
EB,ciliated_cells,19,0.003170895
EB,neural_8_to_eg,58,0.009679573
EB,oral_ectoderm_hb,17,0.002837116
EB,endoderm_hb,7,0.001168224
EB,ciliated_cells_m,1561,0.260514019
EB,endoderm_endo-msd,1178,0.196595461
EB,neural_AnEctoE,810,0.13518024
EB,transient_8_to_eb,291,0.048564753
EB,nsm_pigment_cells,133,0.022196262
EB,oral_ectoderm_64,345,0.057576769
EB,oral_ectoderm_m,48,0.008010681
EB,endoderm_eb,3,5.01E-04
EB,wtf,7,0.001168224
EB,skeleton_64,371,0.061915888
EB,neural_AnEctoL,7,0.001168224
EB,neural_neuro_prog,3,5.01E-04
EB,transient,71,0.011849132
EB,germline,17,0.002837116
HB,aboral-ectoderm,1473,0.125586154
HB,oral_ectoderm_eb,675,0.057549663
HB,ciliated_cells,1015,0.086537642
HB,neural_8_to_eg,1007,0.085855572
HB,oral_ectoderm_hb,883,0.075283485
HB,aboral_ectoderm/neural,85,0.007246995
HB,endoderm_hb,506,0.043140933
HB,ciliated_cells_m,292,0.024895558
HB,endoderm_endo-msd,537,0.045783954
HB,neural_AnEctoE,562,0.047915423
HB,transient_8_to_eb,230,0.019609515
HB,nsm_pigment_cells,927,0.079034871
HB,oral_ectoderm_64,605,0.05158155
HB,oral_ectoderm_m,442,0.037684372
HB,endoderm_eb,326,0.027794356
HB,wtf,783,0.066757609
HB,skeleton_64,489,0.041691534
HB,neural_AnEctoL,350,0.029840566
HB,neural_neuro_prog,310,0.026430216
HB,skeleton_hb,69,0.005882854
HB,transient,158,0.013470884
HB,germline,5,4.26E-04
MB,aboral-ectoderm,1362,0.116003748
MB,oral_ectoderm_eb,987,0.08406439
MB,ciliated_cells,1015,0.086449195
MB,neural_8_to_eg,1201,0.102291117
MB,oral_ectoderm_hb,809,0.068903841
MB,aboral_ectoderm/neural,353,0.030065582
MB,endoderm_hb,644,0.054850524
MB,ciliated_cells_m,210,0.01788604
MB,endoderm_endo-msd,468,0.039860319
MB,neural_AnEctoE,463,0.03943446
MB,transient_8_to_eb,105,0.00894302
MB,nsm_pigment_cells,729,0.062090112
MB,oral_ectoderm_64,610,0.051954689
MB,oral_ectoderm_m,527,0.044885444
MB,endoderm_eb,453,0.038582744
MB,wtf,462,0.039349289
MB,skeleton_64,306,0.026062516
MB,neural_AnEctoL,408,0.034750021
MB,neural_neuro_prog,227,0.019333958
MB,skeleton_hb,227,0.019333958
MB,transient,166,0.014138489
MB,germline,9,7.67E-04
EG,aboral-ectoderm,1212,0.094939684
EG,oral_ectoderm_eb,1311,0.102694658
EG,ciliated_cells,1058,0.08287639
EG,neural_8_to_eg,1313,0.102851324
EG,oral_ectoderm_hb,862,0.067523108
EG,aboral_ectoderm/neural,1364,0.106846311
EG,endoderm_hb,1008,0.078959737
EG,ciliated_cells_m,100,0.007833307
EG,endoderm_endo-msd,406,0.031803227
EG,neural_AnEctoE,284,0.022246593
EG,transient_8_to_eb,79,0.006188313
EG,nsm_pigment_cells,756,0.059219803
EG,oral_ectoderm_64,579,0.045354849
EG,oral_ectoderm_m,674,0.052796491
EG,endoderm_eb,532,0.041673194
EG,wtf,126,0.009869967
EG,skeleton_64,74,0.005796647
EG,neural_AnEctoL,317,0.024831584
EG,neural_neuro_prog,114,0.00892997
EG,skeleton_hb,403,0.031568228
EG,transient,186,0.014569951
EG,germline,8,6.27E-04
LG,aboral-ectoderm,1661,0.129492477
LG,oral_ectoderm_eb,1162,0.090590161
LG,ciliated_cells,976,0.076089499
LG,neural_8_to_eg,206,0.016059874
LG,oral_ectoderm_hb,1306,0.101816481
LG,aboral_ectoderm/neural,2034,0.158571763
LG,endoderm_hb,1210,0.094332268
LG,ciliated_cells_m,93,0.007250331
LG,endoderm_endo-msd,378,0.029469089
LG,neural_AnEctoE,406,0.031651984
LG,transient_8_to_eb,48,0.003742106
LG,nsm_pigment_cells,475,0.037031262
LG,oral_ectoderm_64,573,0.044671396
LG,oral_ectoderm_m,1003,0.078194434
LG,endoderm_eb,480,0.037421065
LG,wtf,183,0.014266781
LG,skeleton_64,14,0.001091448
LG,neural_AnEctoL,331,0.025804943
LG,neural_neuro_prog,176,0.013721057
LG,skeleton_hb,85,0.006626647
LG,transient,23,0.001793093
LG,germline,4,3.12E-04