dev_stage,dev_stage_available_idents,dev_stage_cell_ident_num_cell,dev_stage_cell_ident_percentage
Sp1,aboral-ectoderm,4,0.004514672686230248
Sp1,neural_8_to_eg,129,0.1455981941309255
Sp1,ciliated_cells_m,81,0.09142212189616253
Sp1,endoderm_endo-msd,1,0.001128668171557562
Sp1,neural_AnEctoE,2,0.002257336343115124
Sp1,transient_8_to_eb,650,0.7336343115124153
Sp1,nsm_pigment_cells,1,0.001128668171557562
Sp1,skeleton_64,1,0.001128668171557562
Sp1,transient,3,0.003386004514672686
Sp1,germline,14,0.01580135440180587
Sp2,neural_8_to_eg,33,0.03767123287671233
Sp2,endoderm_hb,1,0.001141552511415525
Sp2,ciliated_cells_m,29,0.033105022831050226
Sp2,endoderm_endo-msd,7,0.007990867579908675
Sp2,neural_AnEctoE,11,0.012557077625570776
Sp2,transient_8_to_eb,638,0.728310502283105
Sp2,oral_ectoderm_64,6,0.00684931506849315
Sp2,skeleton_64,5,0.005707762557077625
Sp2,neural_AnEctoL,1,0.001141552511415525
Sp2,transient,3,0.003424657534246575
Sp2,germline,142,0.16210045662100456
Sp3,aboral-ectoderm,24,0.006700167504187605
Sp3,oral_ectoderm_eb,1,2.7917364600781687e-4
Sp3,ciliated_cells,1,2.7917364600781687e-4
Sp3,neural_8_to_eg,41,0.011446119486320492
Sp3,endoderm_hb,1,2.7917364600781687e-4
Sp3,ciliated_cells_m,984,0.2747068676716918
Sp3,endoderm_endo-msd,367,0.10245672808486879
Sp3,neural_AnEctoE,618,0.17252931323283083
Sp3,transient_8_to_eb,1015,0.2833612506979341
Sp3,nsm_pigment_cells,1,2.7917364600781687e-4
Sp3,oral_ectoderm_64,144,0.04020100502512563
Sp3,oral_ectoderm_m,6,0.0016750418760469012
Sp3,wtf,1,2.7917364600781687e-4
Sp3,skeleton_64,252,0.07035175879396985
Sp3,neural_AnEctoL,1,2.7917364600781687e-4
Sp3,transient,107,0.029871580122836403
Sp3,germline,18,0.005025125628140704
EB,aboral-ectoderm,1040,0.17356475300400534
EB,oral_ectoderm_eb,6,0.0010013351134846463
EB,ciliated_cells,19,0.003170894526034713
EB,neural_8_to_eg,58,0.009679572763684913
EB,oral_ectoderm_hb,17,0.0028371161548731644
EB,endoderm_hb,7,0.0011682242990654205
EB,ciliated_cells_m,1561,0.2605140186915888
EB,endoderm_endo-msd,1178,0.1965954606141522
EB,neural_AnEctoE,810,0.13518024032042725
EB,transient_8_to_eb,291,0.04856475300400534
EB,nsm_pigment_cells,133,0.02219626168224299
EB,oral_ectoderm_64,345,0.05757676902536716
EB,oral_ectoderm_m,48,0.00801068090787717
EB,endoderm_eb,3,5.006675567423231e-4
EB,wtf,7,0.0011682242990654205
EB,skeleton_64,371,0.06191588785046729
EB,neural_AnEctoL,7,0.0011682242990654205
EB,neural_neuro_prog,3,5.006675567423231e-4
EB,transient,71,0.01184913217623498
EB,germline,17,0.0028371161548731644
HB,aboral-ectoderm,1473,0.12558615397732117
HB,oral_ectoderm_eb,675,0.05754966322789667
HB,ciliated_cells,1015,0.08653764174268906
HB,neural_8_to_eg,1007,0.08585557165998807
HB,oral_ectoderm_hb,883,0.0752834853781226
HB,aboral_ectoderm/neural,85,0.0072469946286980984
HB,endoderm_hb,506,0.04314093273083809
HB,ciliated_cells_m,292,0.02489555801858641
HB,endoderm_endo-msd,537,0.04578395430130446
HB,neural_AnEctoE,562,0.047915423309745075
HB,transient_8_to_eb,230,0.01960951487765368
HB,nsm_pigment_cells,927,0.07903487083297808
HB,oral_ectoderm_64,605,0.05158155000426294
HB,oral_ectoderm_m,442,0.037684372069230115
HB,endoderm_eb,326,0.027794355870065648
HB,wtf,783,0.06675760934436013
HB,skeleton_64,489,0.04169153380509848
HB,neural_AnEctoL,350,0.02984056611816864
HB,neural_neuro_prog,310,0.026430215704663654
HB,skeleton_hb,69,0.005882854463296104
HB,transient,158,0.0134708841333447
HB,germline,5,4.2629380168812344e-4
MB,aboral-ectoderm,1362,0.1160037475513159
MB,oral_ectoderm_eb,987,0.08406438974533685
MB,ciliated_cells,1015,0.08644919512818329
MB,neural_8_to_eg,1201,0.1022911165999489
MB,oral_ectoderm_hb,809,0.0689038412400988
MB,aboral_ectoderm/neural,353,0.030065582148028278
MB,endoderm_hb,644,0.05485052380546802
MB,ciliated_cells_m,210,0.017886040371348267
MB,endoderm_endo-msd,468,0.03986031854186185
MB,neural_AnEctoE,463,0.03943446043778213
MB,transient_8_to_eb,105,0.008943020185674133
MB,nsm_pigment_cells,729,0.06209011157482327
MB,oral_ectoderm_64,610,0.05195468869772592
MB,oral_ectoderm_m,527,0.04488544417000256
MB,endoderm_eb,453,0.03858274422962269
MB,wtf,462,0.039349288816966185
MB,skeleton_64,306,0.026062515969678905
MB,neural_AnEctoL,408,0.034750021292905206
MB,neural_neuro_prog,227,0.019333957925219317
MB,skeleton_hb,227,0.019333957925219317
MB,transient,166,0.014138489055446726
MB,germline,9,7.665445873434972e-4
EG,aboral-ectoderm,1212,0.09493968353438823
EG,oral_ectoderm_eb,1311,0.10269465768447439
EG,ciliated_cells,1058,0.08287639041203196
EG,neural_8_to_eg,1313,0.10285132382892057
EG,oral_ectoderm_hb,862,0.06752310825630581
EG,aboral_ectoderm/neural,1364,0.10684631051229829
EG,endoderm_hb,1008,0.07895973680087733
EG,ciliated_cells_m,100,0.007833307222309259
EG,endoderm_endo-msd,406,0.031803227322575595
EG,neural_AnEctoE,284,0.022246592511358295
EG,transient_8_to_eb,79,0.006188312705624315
EG,nsm_pigment_cells,756,0.059219802600658
EG,oral_ectoderm_64,579,0.04535484881717061
EG,oral_ectoderm_m,674,0.05279649067836441
EG,endoderm_eb,532,0.04167319442268526
EG,wtf,126,0.009869967100109666
EG,skeleton_64,74,0.005796647344508851
EG,neural_AnEctoL,317,0.02483158389472035
EG,neural_neuro_prog,114,0.008929970233432555
EG,skeleton_hb,403,0.031568228105906315
EG,transient,186,0.014569951433495222
EG,germline,8,6.266645777847407e-4
LG,aboral-ectoderm,1661,0.12949247680673578
LG,oral_ectoderm_eb,1162,0.09059016137834255
LG,ciliated_cells,976,0.0760894987136509
LG,neural_8_to_eg,206,0.016059873703905825
LG,oral_ectoderm_hb,1306,0.1018164808606845
LG,aboral_ectoderm/neural,2034,0.15857176268807982
LG,endoderm_hb,1210,0.094332267872456535
LG,ciliated_cells_m,93,0.007250331332345833
LG,endoderm_endo-msd,378,0.02946908864114758
LG,neural_AnEctoE,406,0.0316519840960474
LG,transient_8_to_eb,48,0.0037421064941139783
LG,nsm_pigment_cells,475,0.03703126218133625
LG,oral_ectoderm_64,573,0.04467139627348562
LG,oral_ectoderm_m,1003,0.07819443361659001
LG,endoderm_eb,480,0.03742106494113978
LG,wtf,183,0.014266781008809543
LG,skeleton_64,14,0.0010914477274499104
LG,neural_AnEctoL,331,0.025804942698994308
LG,neural_neuro_prog,176,0.013721057145084587
LG,skeleton_hb,85,0.00662664691666017
LG,transient,23,0.0017930926950962814
LG,germline,4,3.1184220784283154e-4
